SUCCESS | ID: 0 | Name: Charadrius semipalmatus | URL: https://en.wikipedia.org/wiki/Semipalmated_plover
SUCCESS | ID: 1 | Name: Tachycineta thalassina | URL: https://en.wikipedia.org/wiki/Violet-green_swallow
SUCCESS | ID: 2 | Name: Stelgidopteryx serripennis | URL: https://en.wikipedia.org/wiki/Northern_rough-winged_swallow
SUCCESS | ID: 3 | Name: Cassiculus melanicterus | URL: https://en.wikipedia.org/wiki/Mexican_cacique
SUCCESS | ID: 4 | Name: Jacana spinosa | URL: https://en.wikipedia.org/wiki/Northern_jacana
SUCCESS | ID: 5 | Name: Haematopus bachmani | URL: https://en.wikipedia.org/wiki/Black_oystercatcher
SUCCESS | ID: 6 | Name: Phoenicopterus ruber | URL: https://en.wikipedia.org/wiki/American_flamingo
SUCCESS | ID: 7 | Name: Phoenicurus phoenicurus | URL: https://en.wikipedia.org/wiki/Common_redstart
SUCCESS | ID: 8 | Name: Pelecanus occidentalis | URL: https://en.wikipedia.org/wiki/Brown_pelican
SUCCESS | ID: 9 | Name: Archilochus alexandri | URL: https://en.wikipedia.org/wiki/Black-chinned_hummingbird
SUCCESS | ID: 10 | Name: Pelecanus conspicillatus | URL: https://en.wikipedia.org/wiki/Australian_pelican
SUCCESS | ID: 11 | Name: Falco tinnunculus | URL: https://en.wikipedia.org/wiki/Common_kestrel
SUCCESS | ID: 12 | Name: Tachybaptus novaehollandiae | URL: https://en.wikipedia.org/wiki/Australasian_grebe
SUCCESS | ID: 13 | Name: Petrochelidon pyrrhonota | URL: https://en.wikipedia.org/wiki/Cliff_swallow
SUCCESS | ID: 14 | Name: Falco peregrinus | URL: https://en.wikipedia.org/wiki/Peregrine_falcon
SUCCESS | ID: 15 | Name: Oenanthe oenanthe | URL: https://en.wikipedia.org/wiki/Northern_wheatear
SUCCESS | ID: 16 | Name: Calidris pusilla | URL: https://en.wikipedia.org/wiki/Semipalmated_sandpiper
SUCCESS | ID: 17 | Name: Calidris alpina | URL: https://en.wikipedia.org/wiki/Dunlin
